abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
The controversy over a white artist&#8217;s painting of Emmett Till&#8217;s corpse raises issues of appropriation without historical context.,58e4a53d7c459f24986d8736,998,By MAURICE BERGER,blogpost,Unknown,"['Discrimination', 'Photography', 'Race and Ethnicity']",3,Unknown,0,05-04-2017 08:00,Unknown,The controversy over a white artist&#8217;s painting of Emmett Till&#8217;s corpse raises issues of appropriation without historical context.,The New York Times,Blog,https://lens.blogs.nytimes.com/2017/04/05/controversy-contexts-using-emmett-tills-image/
,58e4ab107c459f24986d8746,270,By CAROLINE CROSSON GILPIN,article,Questions for: ‘SpaceX Launches a Satellite With a Partly Used Rocket’,[],3,Learning,0,05-04-2017 08:30,Unknown,"How will space travel be used in the future — for industry, countries, companies, and for ordinary, individual Earthlings?",The New York Times,News,https://www.nytimes.com/2017/04/05/learning/questions-for-spacex-launches-a-satellite-with-a-partly-used-rocket.html
,58e4b2167c459f24986d875b,642,Interview by ANA MARIE COX,article,Ben Sasse Thinks Biden Would’ve Won,"['United States Politics and Government', 'Senate', 'Sasse, Benjamin E', 'Cruz, Ted']",3,Magazine,70,05-04-2017 09:00,Unknown,The Republican senator on criticizing Trump and why everyone in Congress is so nice.,The New York Times,News,https://www.nytimes.com/2017/04/05/magazine/ben-sasse-thinks-biden-would-have-won.html
,58e4b21c7c459f24986d875d,311,By CAROLINE CROSSON GILPIN,article,What Is Your Earliest Memory?,[],3,Learning,0,05-04-2017 09:00,Unknown,How far back can you recall events in your own life and how old were you when you first remembered them?,The New York Times,News,https://www.nytimes.com/2017/04/05/learning/what-is-your-earliest-memory.html
,58e4b2207c459f24986d875f,7832,By ROBERT F. WORTH,article,The Secularist,"['Muslims and Islam', 'Kepel, Gilles', 'Roy, Olivier', 'France', 'Paris Attacks (November 2015)', 'Terrorism']",3,Magazine,33,05-04-2017 09:00,Unknown,"When a terrorist made a death threat against Gilles Kepel, France’s most famous scholar of Islam, it deepened his embroilment in a national debate over Muslim assimilation and extremism.",The New York Times,News,https://www.nytimes.com/2017/04/05/magazine/france-election-gilles-kepel-islam.html
,58e4b22d7c459f24986d8761,1467,By KWAME ANTHONY APPIAH,article,Is It O.K. That Our Friends Are Constantly Suing People?,"['Suits and Litigation (Civil)', 'Ethics (Personal)', 'Dating and Relationships', 'Elderly']",3,Magazine,26,05-04-2017 09:00,Unknown,"The magazine’s Ethicist columnist on what’s wrong with being litigious, an older relative’s love affair and revealing a buried secret.",The New York Times,News,https://www.nytimes.com/2017/04/05/magazine/is-it-ok-that-our-friends-are-constantly-suing-people.html
,58e4b2377c459f24986d876b,3207,By CHARLES McGRATH,article,The Diva Departs,"['Opera', 'Fleming, Renee', 'Metropolitan Opera', 'Lyric Opera of Chicago']",3,Arts&Leisure,1,05-04-2017 09:00,Music,"With her art form in crisis, the soprano prepares for a poignant goodbye at the Met. But she has a second act in mind.",The New York Times,News,https://www.nytimes.com/2017/04/05/arts/music/the-diva-departs-renee-flemings-farewell-to-opera.html
,58e4b23b7c459f24986d876e,3245,By KYLE SPENCER,article,It Takes a Suburb,"['Education (Secondary)', 'Anxiety and Stress', 'Colleges and Universities', 'Lexington (Mass)', 'Education (K-12)', 'Happiness', 'Asian-Americans']",64,EdLife,14,05-04-2017 09:00,Education Life,"Lexington, Mass., is fighting the joy-killing, suicide-inducing performance anxiety so prevalent in turbocharged high schools. It has not been easy.",The New York Times,News,https://www.nytimes.com/2017/04/05/education/edlife/overachievers-student-stress-in-high-school-.html
,58e4b9257c459f24986d877e,796,By NATE COHN,article,"Democratic Turnout, Low in Off-Year Races, Appears on the Rise","['Elections', 'Democratic Party', 'Politics and Government', 'Midterm Elections (2014)', 'Elections, House of Representatives']",3,Upshot,18,05-04-2017 09:30,Unknown,Early signs in special elections are consistent with a trend in which the party out of power benefits from strong turnout in off-year races.,The New York Times,News,https://www.nytimes.com/2017/04/05/upshot/democrats-are-bad-at-midterm-turnout-that-seems-ready-to-change.html
,58e4c02d7c459f24986d8794,327,By DAVID GELLES,article,How to Be Mindful When You Are Angry,"['Anger (Emotion)', 'Meditation']",3,Well,0,05-04-2017 10:00,Mind,"Anger can be a natural, life-affirming emotion, if you let it be.",The New York Times,News,https://www.nytimes.com/2017/04/05/well/mind/how-to-be-mindful-when-you-are-angry.html
,58e4c0277c459f24986d8792,855,By GRETCHEN REYNOLDS,article,Lessons From Mellow Mice,"['Mice', 'Anxiety and Stress', 'Brain', 'Pacemakers']",3,Well,4,05-04-2017 10:00,Move,Scientists may have uncovered for the first time why taking deep breaths can be so calming.,The New York Times,News,https://www.nytimes.com/2017/04/05/well/move/what-chill-mice-can-teach-us-about-keeping-calm.html
